zip,donations,total,NAME,variable,populationtotal,moe,donation_rate_per_1000
21152,1796,80268.00000000007,ZCTA5 21152,totalpopulation,5462,568,328.8172830465031
21153,1329,41921.91000000001,ZCTA5 21153,totalpopulation,447,204,2973.1543624161072
21154,568,14000.14,ZCTA5 21154,totalpopulation,5804,590,97.86354238456236
21155,578,15340.34,ZCTA5 21155,totalpopulation,2532,391,228.2780410742496
21156,40,1304.9999999999998,ZCTA5 21156,totalpopulation,316,117,126.58227848101266
21157,8691,202460.4400000002,ZCTA5 21157,totalpopulation,37749,1217,230.2312644043551
21158,4343,99560.21000000004,ZCTA5 21158,totalpopulation,20906,784,207.73940495551517
21160,285,5854.12,ZCTA5 21160,totalpopulation,2933,673,97.17013296965564
21161,1036,26816.29999999997,ZCTA5 21161,totalpopulation,5601,550,184.96697018389574
21162,705,11934.46,ZCTA5 21162,totalpopulation,4331,557,162.77995843915954
21163,4816,171400.08000000005,ZCTA5 21163,totalpopulation,7030,592,685.0640113798008
21201,6643,366729.6200000009,ZCTA5 21201,totalpopulation,17256,1128,384.9675475197033
21202,6148,382084.8500000009,ZCTA5 21202,totalpopulation,21784,1211,282.22548659566655
21204,12273,511605.4999999996,ZCTA5 21204,totalpopulation,21545,911,569.644929217916
21205,1021,23248.110000000015,ZCTA5 21205,totalpopulation,16239,1075,62.873329638524545
21206,6518,111044.22,ZCTA5 21206,totalpopulation,52020,1647,125.29796232218376
21207,13152,198563.10000000015,ZCTA5 21207,totalpopulation,48872,1566,269.1111474873138
21208,21511,700900.8699999987,ZCTA5 21208,totalpopulation,35266,1403,609.964271536324
21209,26774,644100.539999995,ZCTA5 21209,totalpopulation,28309,1146,945.7769613903706
21210,25454,1443604.7700000436,ZCTA5 21210,totalpopulation,15553,868,1636.5974410081656
21211,13357,433904.2699999998,ZCTA5 21211,totalpopulation,16370,636,815.9437996334758
21212,25556,1146181.100000002,ZCTA5 21212,totalpopulation,33431,1009,764.4401902425892
21213,3715,75637.8300000001,ZCTA5 21213,totalpopulation,31007,1545,119.81165543264424
21214,7525,156481.40000000066,ZCTA5 21214,totalpopulation,21392,938,351.7670157068063
21215,10084,148706.3900000006,ZCTA5 21215,totalpopulation,58283,2388,173.01786112588576
21216,3837,59446.779999999984,ZCTA5 21216,totalpopulation,30179,1643,127.14138970807515
